"","ID_Yapper","ID","participant","TIME_total","Game_Feelings","Age","Gender","Town","Country","Studies","CSP","CSP_Other","Writing_Script_C","Writing_Script","Writing_Language","Subjective_SES","Pay_Distance","Pay_Amount","Pay_Month","Household_Nb","PESS_1","PESS_2","PESS_3","PESS_4","PESS_5","PESS_6","PESS_7","PESS_8","PESS_Mean","SoundCalibration","SoundProblem","Check_Sound","Check_Uncomfort","Check_Volume","Knew","KnewTask","KnewIB","PrimaryTask","PrimaryTask_C","Congruency","Congruency_C","Threat","Threat_C","Count_Trial1","Count_TrialCritical","Count_TrialDivided","Error_Trial1","Error_TrialCritic","Error_TrialDivided","PleasureTrial1","PleasureCritical","PleasureDivided","ArousalTrial1","ArousalCritical","ArousalDivided","SenseControlTrial1","SenseControlCritical","SenseControlDivided","Noticing_Critic","Noticing_Divided","Noticing_Full","Angry_pretest","Happy_pretest","Depressed_pretest","Calm_pretest_Recod","Nervous_pretest","Anxious_pretest","Tense_pretest","Stressed_pretest","Angry","Happy","Depressed","Calm_Recod","Nervous","Anxious","Tense","Stressed","FearScore_pre","FearScore_post","FearScore","FearMean_pre","FearMean_post","FearMean"
"1","XXXX",911,"s.742aafed-35a4-4eec-8862-84ef564754bf.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LoudSound",NA,NA,NA,NA,NA,NA,NA,"WhiteFocus",-0.5,"Congruent",0.5,"Control",-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,4,2,5,3,3,4,6,NA,NA,NA,NA,NA,NA,NA,NA,0.942530752267275,NA,NA,4,NA,NA
"2","XXXX",1264,"s.a5624341-80ba-47e4-bcc9-c9cd01426644.txt",7,"tr<e8>s attentive car je pensais la t<e2>che plus complexe",53,1,"Terville","FRANCE",3,4,NA,1,"LatinScript",NA,7,25,"5000","9000",3,1,4,1,7,1,1,1,2,2.25,"LoudSound",NA,-0.5,NA,NA,-0.5,-0.5,0.5,"BlackFocus",0.5,"Incongruent",-0.5,"Control",-0.5,10,12,8,1,2,0,9,9,9,1,1,1,9,9,9,0,1,1,1,7,1,1,1,1,1,1,1,7,1,1,1,1,2,1,-1.10502495328365,-0.99651963364916,0.108505319634488,1,1.25,0.25
"3","XXXX",133,"s.10511ff3-82a6-481f-9141-092ee9c0414f.txt",10,"rien de sp<e9>cial",39,1,"Gourdon","France",3,5,NA,1,"LatinScript",NA,5,31,"1200","2500",2,5,1,1,1,1,1,1,2,1.625,"LoudSound",NA,-0.5,NA,NA,-0.5,-0.5,0.5,"WhiteFocus",-0.5,"Congruent",0.5,"Control",-0.5,27,21,19,4,2,5,5,5,5,5,4,3,6,7,7,1,1,1,1,4,2,1,2,1,2,2,1,3,1,3,2,1,3,1,-0.595466837812709,-0.701169482884059,-0.105702645071349,1.75,1.75,0
"4","XXXX",698,"s.597b2df3-1bc3-4ef5-8033-a0ef45251dc1.txt",13,"J'atais un peu stress<e9> au d<e9>but et  le fait de me focaliser sur une tache m'a d<e9>tendu. J'ai donc ressenti de l'apaisement.",73,2,"Roncq","France",5,7,NA,2,"OtherScript","Anglais",7,20,"2200","3000",3,2,5,1,2,3,5,5,5,3.5,"SoftSound",NA,-0.5,NA,NA,-0.5,-0.5,-0.5,"WhiteFocus",-0.5,"Incongruent",-0.5,"Control",-0.5,10,12,8,0,0,0,5,5,5,3,3,3,9,9,9,1,1,1,2,3,1,2,1,1,1,2,1,2,1,1,1,1,1,1,-0.89466447037109,-1.10793820725763,-0.213273736886536,1.25,1,-0.25
"5","XXXX",634,"s.5120f48b-400c-4e60-9b6b-14a63f498afe.txt",11,"J'<e9>tais concentr<e9>e",52,1,"BONNEMAIN","FRANCE",5,5,NA,1,"LatinScript",NA,3,22,"1600","4200",3,4,3,1,1,1,4,1,5,2.5,"LoudSound",NA,-0.5,NA,NA,-0.5,-0.5,0.5,"BlackFocus",0.5,"Incongruent",-0.5,"Control",-0.5,10,12,8,1,2,0,6,7,7,3,2,2,8,8,8,0,0,1,3,2,3,3,3,3,4,5,1,2,1,2,2,2,2,2,0.732170269354718,-0.495596615753568,-1.22776688510829,3.75,2,-1.75
"6","XXXX",351,"s.2d32f8d9-746c-41ac-876d-7265f8276e9c.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WhiteFocus",-0.5,"Incongruent",-0.5,"Threat",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","XXXX",565,"s.4a3993b1-1739-4961-bbf4-5e64a27ac062.txt",13,NA,38,1,"gorges","france",2,5,NA,1,"LatinScript",NA,6,6,"1700","3700",4,4,6,5,4,5,5,6,6,5.125,"LoudSound",NA,-0.5,NA,NA,0.5,0.5,0.5,"BlackFocus",0.5,"Incongruent",-0.5,"Control",-0.5,11,11,8,0,3,0,5,5,5,6,5,5,6,6,6,0,0,0,5,5,5,4,5,3,5,5,3,4,3,3,3,3,5,4,1.2148050220187,0.538049980629395,-0.676755041389302,4.5,3.75,-0.75
"8","XXXX",1910,"s.fed68c35-cbe6-4669-a96d-ba61ca7443c3.txt",11,"Aucune difficult<e9>",26,1,"Paris","France",8,10,NA,1,"LatinScript",NA,6,1,"1700","1700",1,1,2,2,1,2,1,3,4,2,"LoudSound",NA,-0.5,NA,NA,-0.5,-0.5,0.5,"WhiteFocus",-0.5,"Incongruent",-0.5,"Control",-0.5,10,11,8,0,1,0,9,8,9,2,2,2,9,9,9,1,1,1,1,5,1,2,2,1,1,2,1,6,1,1,2,1,1,1,-0.711227350265492,-0.924006630100992,-0.2127792798355,1.5,1.25,-0.25
"9","XXXX",1467,"s.c0cf28f2-5662-4e21-a5ba-5a8a81a130ea.txt",12,"Rien de sp<e9>cial",24,1,"Saint medard en jalles","France",5,8,NA,1,"LatinScript",NA,7,20,"1395","1395",1,1,7,5,1,6,3,1,1,3.125,"SoftSound",NA,-0.5,NA,NA,0.5,0.5,0.5,"BlackFocus",0.5,"Incongruent",-0.5,"Control",-0.5,11,13,8,0,1,0,5,5,5,1,1,1,9,9,9,1,1,1,1,4,4,1,1,1,1,1,1,4,1,1,1,1,1,4,-1.10502495328365,-0.512534634271709,0.592490319011938,1,1.75,0.75
"10","XXXX",946,"s.78a9324a-434a-45fc-abca-f4fa44ab2c30.txt",43,"rien de sp<e9>cial",32,2,"Bordeaux","France",11,3,NA,1,"LatinScript",NA,7,27,"5000","5000",3,4,4,4,4,4,4,4,4,4,"LoudSound",NA,0.5,0.5,0.5,-0.5,-0.5,-0.5,"BlackFocus",0.5,"Incongruent",-0.5,"Control",-0.5,13,15,8,2,1,0,7,7,7,4,2,3,6,6,6,0,1,1,2,7,2,2,1,2,2,2,1,5,1,3,1,1,1,1,-0.638105201209011,-1.10793820725763,-0.469833006048615,1.75,1,-0.75
